Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Airport West,No,Sunday,Very Convenient,More than 1 hour,More than 6 times,NA,0,6,6,2,8,Way too hot,Strongly agree,1,10,No,Yes,2,2,8,0,Yes,No,NA,NA
Century City,No,Saturday,Very Convenient,More than 1 hour,4-6 times,No,3,1,8,8,9,Just right,Neither agree nor disagree,5,6,Yes,Yes,10,0,0,0,No,Yes,Carter Edwards,Carter.Edwards@yahoo.com.au
Geelong,Yes,Monday,Indifferent,More than 1 hour,More than 6 times,Yes,0,10,7,3,10,A little cool,Strongly agree,8,0,Yes,No,NA,NA,NA,2,Yes,Yes,Isaac Li,Isaac.Li@bigpond.net.au
Rosebud,Yes,Sunday,Convenient,Less than 30 minutes,More than 6 times,NA,10,0,8,1,5,A little cool,Strongly agree,7,9,No,No,NA,NA,NA,9,No,No,NA,NA
Fountain Gate,Yes,Saturday,Very Inconvenient,Less than 30 minutes,2-3 times,No,6,6,9,7,1,Just right,Agree,6,5,No,No,NA,NA,NA,2,Yes,No,NA,NA
Southland,Yes,Tuesday,Inconvient,Less than 1 hour,2-3 times,Yes,1,7,9,1,1,A little cool,Agree,3,2,Yes,Yes,9,8,0,2,No,Yes,Lily Ross,Lily.Ross@bigpond.com
Karingal,Yes,Saturday,Indifferent,Less than 30 minutes,2-3 times,No,5,5,0,5,9,Just right,Strongly disagree,5,9,No,No,NA,NA,NA,7,Yes,Yes,Layla Wood,Layla.Wood@mail.com
Rosebud,Yes,Tuesday,Convenient,Less than 10 minutes,4-6 times,NA,6,5,1,10,0,Just right,Neither agree nor disagree,3,9,Yes,No,NA,NA,NA,9,Yes,Yes,Gabriel Myers,Gabriel.Myers@gmail.com
Morwell,Yes,Thursday,Indifferent,Less than 30 minutes,More than 6 times,NA,8,3,4,3,3,Just right,Agree,2,2,Yes,Yes,5,10,7,8,Yes,No,NA,NA
Albury,No,Monday,Very Convenient,Less than 1 hour,2-3 times,No,5,8,6,9,7,A little warm,Strongly agree,9,5,No,No,NA,NA,NA,4,Yes,Yes,Matthew Perez,Matthew.Perez@bigpond.com
Plenty Valley,Yes,Monday,Very Inconvenient,Less than 10 minutes,2-3 times,No,0,6,0,8,4,Just right,Disagree,8,5,Yes,No,NA,NA,NA,8,No,Yes,Brooklyn Morales,Brooklyn.Morales@msn.com
Launceston,No,Friday,Indifferent,Less than 30 minutes,More than 6 times,NA,3,6,0,3,5,A little warm,Strongly agree,10,6,No,Yes,1,8,7,2,No,No,NA,NA
Fountain Gate,No,Thursday,Indifferent,Less than 10 minutes,Once,No,1,6,0,9,9,Way too cold,Neither agree nor disagree,4,10,Yes,No,NA,NA,NA,3,No,Yes,Harper Martin,Harper.Martin@msn.com
Rivoli,No,Monday,Very Inconvenient,Less than 30 minutes,4-6 times,No,8,10,7,5,2,Way too hot,Strongly agree,2,1,No,No,NA,NA,NA,3,Yes,No,NA,NA
Crown,No,Sunday,Indifferent,Less than 30 minutes,Once,No,3,5,3,5,5,A little cool,Neither agree nor disagree,7,3,Yes,Yes,3,3,4,0,Yes,Yes,Leo Garcia,Leo.Garcia@optusnet.com.au
Eastlands,Yes,Sunday,Very Convenient,Less than 10 minutes,4-6 times,NA,6,8,0,2,9,Way too cold,Agree,7,1,Yes,No,NA,NA,NA,10,Yes,No,NA,NA
Werribee,No,Monday,Very Inconvenient,Less than 10 minutes,2-3 times,No,1,3,10,6,6,A little warm,Strongly agree,5,8,Yes,No,NA,NA,NA,4,No,Yes,Paisley Jones,Paisley.Jones@outlook.com
Eastlands,Yes,Tuesday,Inconvient,More than 1 hour,More than 6 times,NA,5,5,3,8,1,Way too cold,Agree,8,0,Yes,Yes,3,3,7,10,No,No,NA,NA
Warragul,No,Monday,Very Inconvenient,Less than 1 hour,4-6 times,NA,9,2,3,6,4,Just right,Neither agree nor disagree,7,1,No,No,NA,NA,NA,6,Yes,Yes,Riley Fisher,Riley.Fisher@msn.com
Rosebud,Yes,Monday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,5,5,4,4,10,Way too cold,Strongly agree,8,1,Yes,Yes,4,7,4,4,Yes,Yes,Ethan Bailey,Ethan.Bailey@bigpond.com
Crown,No,Saturday,Indifferent,Less than 10 minutes,More than 6 times,Yes,1,6,0,7,5,A little cool,Strongly agree,8,0,No,Yes,8,1,0,6,Yes,No,NA,NA
Albury,Yes,Friday,Inconvient,Less than 1 hour,More than 6 times,No,0,9,3,5,4,Just right,Strongly disagree,2,10,Yes,Yes,10,5,4,2,Yes,Yes,Olivia Foster,Olivia.Foster@optusnet.com.au
Southland,Yes,Sunday,Indifferent,Less than 1 hour,More than 6 times,No,5,7,0,2,1,Just right,Strongly agree,6,9,No,Yes,6,6,1,8,No,Yes,Emily Collins,Emily.Collins@gmail.com
Sunshine,Yes,Thursday,Convenient,More than 1 hour,Once,No,4,6,5,2,1,Way too cold,Neither agree nor disagree,3,7,Yes,Yes,9,9,1,9,Yes,No,NA,NA
Albury,Yes,Friday,Indifferent,More than 1 hour,More than 6 times,No,1,2,9,0,6,Way too hot,Disagree,5,9,No,No,NA,NA,NA,8,Yes,Yes,Julian Adams,Julian.Adams@outlook.com
Warnambool,Yes,Tuesday,Convenient,Less than 10 minutes,4-6 times,NA,1,2,3,2,2,A little warm,Strongly disagree,9,4,No,No,NA,NA,NA,2,No,Yes,Daniel Howard,Daniel.Howard@hotmail.com
Knox,No,Friday,Very Convenient,More than 1 hour,2-3 times,Yes,1,10,9,0,0,Way too hot,Strongly agree,9,1,No,No,NA,NA,NA,10,No,No,NA,NA
Airport West,Yes,Friday,Very Convenient,Less than 10 minutes,More than 6 times,NA,7,3,1,4,3,A little warm,Strongly disagree,9,1,Yes,Yes,7,4,1,6,No,Yes,Mateo Flores,Mateo.Flores@yahoo.com.au
Geelong,Yes,Friday,Indifferent,Less than 1 hour,2-3 times,Yes,3,1,3,8,10,Just right,Strongly disagree,3,6,Yes,Yes,3,9,4,9,No,Yes,Hailey Clark,Hailey.Clark@gmail.com
Rivoli,No,Saturday,Very Convenient,Less than 1 hour,4-6 times,No,7,6,6,10,5,Way too cold,Agree,8,9,No,No,NA,NA,NA,8,No,No,NA,NA
Doncaster,Yes,Thursday,Very Inconvenient,Less than 1 hour,More than 6 times,No,0,3,1,6,8,A little cool,Neither agree nor disagree,8,8,Yes,No,NA,NA,NA,1,No,No,NA,NA
Albury,Yes,Monday,Very Convenient,Less than 1 hour,More than 6 times,Yes,4,7,10,5,4,Just right,Agree,2,8,No,Yes,9,6,1,3,Yes,Yes,Isabella Morgan,Isabella.Morgan@optusnet.com.au
Glenorchy,Yes,Saturday,Indifferent,Less than 10 minutes,2-3 times,NA,3,7,2,0,5,Way too cold,Agree,5,0,Yes,No,NA,NA,NA,9,Yes,No,NA,NA
Plenty Valley,Yes,Tuesday,Indifferent,Less than 30 minutes,2-3 times,No,2,3,6,3,2,Just right,Disagree,6,5,Yes,Yes,3,10,6,1,No,No,NA,NA
Karingal,Yes,Sunday,Very Inconvenient,Less than 1 hour,2-3 times,No,4,9,9,5,6,A little warm,Strongly disagree,6,7,Yes,Yes,6,0,2,4,No,Yes,Jack Johnson,Jack.Johnson@bigpond.net.au
Albury,Yes,Saturday,Inconvient,Less than 10 minutes,4-6 times,Yes,4,0,7,5,6,A little cool,Strongly disagree,9,2,No,No,NA,NA,NA,10,Yes,Yes,Isaiah Jenkins,Isaiah.Jenkins@gmail.com
Warnambool,No,Tuesday,Very Convenient,Less than 30 minutes,More than 6 times,NA,6,2,5,4,5,Way too cold,Strongly agree,1,8,Yes,Yes,5,1,1,8,Yes,No,NA,NA
Launceston,Yes,Monday,Convenient,More than 1 hour,2-3 times,NA,4,3,0,5,10,A little warm,Agree,3,0,Yes,No,NA,NA,NA,10,Yes,Yes,Jayce Perry,Jayce.Perry@live.com.au
Shepparton,No,Monday,Very Convenient,More than 1 hour,Once,NA,1,1,7,7,8,A little warm,Neither agree nor disagree,10,7,Yes,Yes,0,3,4,9,Yes,No,NA,NA
Southland,No,Sunday,Inconvient,Less than 10 minutes,More than 6 times,No,3,5,7,7,9,A little warm,Agree,7,10,No,No,NA,NA,NA,9,No,Yes,Henry Barnes,Henry.Barnes@mailinator.com
Warnambool,Yes,Friday,Very Convenient,Less than 30 minutes,More than 6 times,NA,6,9,0,9,9,A little cool,Strongly disagree,6,7,Yes,No,NA,NA,NA,2,No,Yes,Camilla Foster,Camilla.Foster@optusnet.com.au
Werribee,No,Sunday,Convenient,Less than 1 hour,More than 6 times,Yes,6,5,3,10,1,Way too cold,Disagree,5,7,Yes,Yes,8,10,3,3,No,Yes,Avery Turner,Avery.Turner@bigpond.com
Crown,Yes,Sunday,Very Convenient,Less than 1 hour,Once,No,9,4,6,8,3,Just right,Disagree,7,8,No,No,NA,NA,NA,6,Yes,No,NA,NA
Hobart,No,Tuesday,Convenient,Less than 1 hour,2-3 times,Yes,2,4,2,9,0,A little warm,Strongly agree,10,7,Yes,Yes,7,5,10,6,No,Yes,Grayson Edwards,Grayson.Edwards@bigpond.net.au
Warragul,No,Wednesday,Indifferent,More than 1 hour,Once,NA,3,0,6,10,7,A little warm,Agree,1,7,Yes,No,NA,NA,NA,2,Yes,No,NA,NA
Knox,Yes,Wednesday,Very Inconvenient,More than 1 hour,4-6 times,No,3,0,8,0,9,Way too hot,Strongly agree,3,5,Yes,No,NA,NA,NA,3,Yes,Yes,Michael Walker,Michael.Walker@mailinator.com
Rosebud,No,Sunday,Very Inconvenient,Less than 10 minutes,Once,NA,1,1,5,3,8,A little warm,Agree,10,5,No,No,NA,NA,NA,5,Yes,Yes,Hannah Barnes,Hannah.Barnes@mail.com
Karingal,Yes,Saturday,Very Inconvenient,Less than 1 hour,Once,Yes,8,9,4,4,7,A little cool,Strongly disagree,10,4,Yes,No,NA,NA,NA,4,Yes,Yes,Layla Miller,Layla.Miller@msn.com
Warnambool,Yes,Saturday,Indifferent,Less than 10 minutes,2-3 times,NA,7,6,5,7,5,A little cool,Neither agree nor disagree,5,4,No,No,NA,NA,NA,5,No,No,NA,NA
Knox,Yes,Tuesday,Very Convenient,More than 1 hour,4-6 times,No,8,6,10,5,3,Way too hot,Neither agree nor disagree,7,6,Yes,No,NA,NA,NA,3,Yes,Yes,Connor Taylor,Connor.Taylor@hotmail.com
Southland,Yes,Saturday,Indifferent,More than 1 hour,More than 6 times,Yes,0,10,9,10,4,Way too cold,Agree,8,0,Yes,No,NA,NA,NA,4,No,No,NA,NA
Sorrento,No,Friday,Indifferent,Less than 30 minutes,More than 6 times,NA,9,7,4,9,10,Just right,Neither agree nor disagree,5,6,No,No,NA,NA,NA,5,Yes,Yes,Addison Stewart,Addison.Stewart@mailinator.com
Airport West,Yes,Thursday,Very Convenient,Less than 1 hour,Once,NA,2,3,4,3,4,A little cool,Neither agree nor disagree,3,6,No,Yes,0,6,3,5,No,Yes,Caden Lewis,Caden.Lewis@gmail.com
Bendigo,No,Thursday,Convenient,Less than 1 hour,Once,Yes,9,5,7,6,3,A little cool,Agree,0,0,No,No,NA,NA,NA,1,No,Yes,William Price,William.Price@mailinator.com
Rivoli,Yes,Saturday,Indifferent,More than 1 hour,Once,Yes,2,10,5,6,3,Way too cold,Agree,1,0,Yes,Yes,10,8,9,10,No,Yes,Harper Lee,Harper.Lee@mailinator.com
Warragul,Yes,Tuesday,Very Convenient,Less than 10 minutes,More than 6 times,NA,4,5,3,1,2,A little cool,Neither agree nor disagree,1,3,No,No,NA,NA,NA,4,Yes,Yes,Josiah Williams,Josiah.Williams@hotmail.com
Warragul,No,Friday,Inconvient,Less than 1 hour,More than 6 times,NA,1,7,9,1,7,Way too cold,Agree,2,9,Yes,No,NA,NA,NA,3,Yes,Yes,Alexander Sullivan,Alexander.Sullivan@bigpond.net.au
Coburg Drive-In,No,Monday,Convenient,Less than 30 minutes,2-3 times,NA,10,2,3,1,6,A little warm,Neither agree nor disagree,5,6,Yes,Yes,9,0,0,8,Yes,No,NA,NA
Sorrento,Yes,Thursday,Convenient,Less than 10 minutes,Once,NA,3,0,6,3,4,A little cool,Disagree,0,10,No,Yes,6,7,6,6,No,Yes,Aiden Perry,Aiden.Perry@bigpond.net.au
Southland,No,Monday,Inconvient,More than 1 hour,Once,Yes,7,10,2,2,7,Just right,Disagree,3,0,Yes,Yes,4,9,0,9,Yes,No,NA,NA
Bendigo,No,Thursday,Convenient,Less than 10 minutes,4-6 times,Yes,9,5,0,5,4,Just right,Neither agree nor disagree,2,4,Yes,Yes,7,5,3,2,No,Yes,Noah Foster,Noah.Foster@hotmail.com
Bendigo,Yes,Sunday,Very Convenient,Less than 10 minutes,Once,No,2,3,4,1,5,A little warm,Strongly agree,6,5,Yes,No,NA,NA,NA,6,No,Yes,Ethan Reyes,Ethan.Reyes@bigpond.com
Glenorchy,No,Thursday,Inconvient,Less than 30 minutes,4-6 times,NA,7,0,10,6,6,A little warm,Strongly disagree,6,5,Yes,Yes,8,8,6,4,No,No,NA,NA
Morwell,Yes,Tuesday,Convenient,Less than 1 hour,4-6 times,NA,1,9,8,5,9,A little cool,Strongly disagree,7,7,No,No,NA,NA,NA,2,No,Yes,Evelyn Kumar,Evelyn.Kumar@bigpond.net.au
Crown,No,Wednesday,Convenient,More than 1 hour,2-3 times,No,10,3,10,1,1,Way too hot,Neither agree nor disagree,3,4,Yes,No,NA,NA,NA,2,No,No,NA,NA
Doncaster,Yes,Saturday,Inconvient,Less than 10 minutes,2-3 times,No,9,9,6,3,9,A little cool,Agree,10,1,No,No,NA,NA,NA,2,No,Yes,Cameron Scott,Cameron.Scott@yahoo.com.au
Sorrento,Yes,Friday,Indifferent,Less than 30 minutes,2-3 times,NA,7,0,4,1,6,A little warm,Strongly agree,5,1,No,Yes,4,7,8,3,No,No,NA,NA
Jam Factory,Yes,Thursday,Very Convenient,More than 1 hour,2-3 times,No,1,1,9,0,6,Way too hot,Strongly disagree,5,9,Yes,No,NA,NA,NA,2,Yes,Yes,David Diaz,David.Diaz@mail.com
Eastlands,Yes,Monday,Inconvient,More than 1 hour,Once,NA,2,7,5,10,3,A little cool,Disagree,7,6,No,No,NA,NA,NA,10,No,No,NA,NA
Glenorchy,Yes,Friday,Very Convenient,Less than 30 minutes,Once,NA,1,2,4,4,8,Way too cold,Agree,8,4,No,No,NA,NA,NA,8,Yes,No,NA,NA
Jam Factory,Yes,Friday,Indifferent,More than 1 hour,Once,No,7,3,10,5,0,Way too cold,Strongly agree,10,9,No,No,NA,NA,NA,10,No,Yes,Alexander Patel,Alexander.Patel@optusnet.com.au
Albury,No,Saturday,Very Inconvenient,Less than 10 minutes,4-6 times,Yes,3,5,3,5,7,A little warm,Strongly disagree,2,9,Yes,No,NA,NA,NA,7,No,No,NA,NA
Glenorchy,Yes,Thursday,Convenient,More than 1 hour,4-6 times,NA,10,8,8,7,9,A little cool,Agree,9,9,No,Yes,2,6,6,8,No,Yes,Luna Davis,Luna.Davis@bigpond.net.au
Morwell,Yes,Thursday,Inconvient,Less than 30 minutes,Once,NA,3,1,7,9,7,Just right,Disagree,8,8,No,No,NA,NA,NA,4,No,Yes,Alexander Richardson,Alexander.Richardson@bigpond.net.au
Doncaster,No,Tuesday,Inconvient,Less than 1 hour,2-3 times,Yes,10,8,4,0,9,A little warm,Neither agree nor disagree,3,0,Yes,No,NA,NA,NA,7,No,No,NA,NA
Plenty Valley,No,Saturday,Indifferent,More than 1 hour,More than 6 times,No,6,4,7,10,4,A little cool,Strongly agree,5,3,Yes,Yes,2,7,1,1,Yes,Yes,Caden Kelly,Caden.Kelly@hotmail.com
Rosebud,No,Monday,Convenient,Less than 30 minutes,2-3 times,NA,6,2,2,6,10,Just right,Strongly disagree,10,4,Yes,Yes,6,2,10,1,Yes,No,NA,NA
Shepparton,Yes,Wednesday,Very Convenient,More than 1 hour,More than 6 times,NA,3,6,3,1,10,A little cool,Neither agree nor disagree,9,2,No,Yes,5,8,3,8,No,No,NA,NA
Warragul,No,Tuesday,Convenient,Less than 1 hour,More than 6 times,NA,6,5,9,10,8,Way too hot,Strongly disagree,0,5,Yes,Yes,9,7,10,7,No,Yes,Matthew Phillips,Matthew.Phillips@bigpond.net.au
Morwell,No,Sunday,Indifferent,Less than 10 minutes,More than 6 times,NA,2,9,0,1,5,A little warm,Agree,6,7,Yes,No,NA,NA,NA,3,No,No,NA,NA
Fountain Gate,Yes,Wednesday,Indifferent,More than 1 hour,2-3 times,No,6,8,8,2,1,Way too cold,Strongly disagree,10,2,Yes,Yes,8,5,3,7,Yes,No,NA,NA
Hobart,No,Thursday,Convenient,Less than 30 minutes,More than 6 times,No,2,0,3,4,4,Way too cold,Neither agree nor disagree,7,6,No,Yes,7,5,4,10,No,Yes,Muhammad Martin,Muhammad.Martin@gmail.com
Century City,Yes,Thursday,Very Convenient,Less than 30 minutes,4-6 times,No,6,2,9,5,9,A little warm,Neither agree nor disagree,3,5,No,Yes,3,0,10,0,No,No,NA,NA
Werribee,No,Friday,Inconvient,Less than 30 minutes,More than 6 times,No,8,2,10,0,10,A little cool,Neither agree nor disagree,6,1,Yes,Yes,6,3,0,1,Yes,Yes,William Collins,William.Collins@live.com.au
Jam Factory,Yes,Tuesday,Convenient,More than 1 hour,2-3 times,No,1,6,2,9,10,Way too hot,Strongly agree,10,5,Yes,No,NA,NA,NA,9,Yes,No,NA,NA
Airport West,No,Sunday,Convenient,More than 1 hour,2-3 times,NA,7,0,2,8,6,A little warm,Disagree,6,3,Yes,No,NA,NA,NA,0,No,No,NA,NA
Launceston,Yes,Saturday,Very Convenient,Less than 10 minutes,More than 6 times,NA,3,6,10,1,0,Way too cold,Agree,2,4,No,No,NA,NA,NA,1,No,No,NA,NA
Glenorchy,Yes,Wednesday,Inconvient,Less than 30 minutes,2-3 times,NA,10,1,5,7,4,Just right,Agree,3,1,No,No,NA,NA,NA,7,Yes,No,NA,NA
Karingal,Yes,Saturday,Very Convenient,More than 1 hour,4-6 times,Yes,0,3,8,7,10,A little cool,Disagree,3,5,Yes,No,NA,NA,NA,1,No,Yes,Arianna Fisher,Arianna.Fisher@mailinator.com
Glenorchy,No,Tuesday,Convenient,Less than 1 hour,More than 6 times,NA,1,6,3,8,5,Way too cold,Neither agree nor disagree,3,2,No,No,NA,NA,NA,7,Yes,No,NA,NA
Sunshine,No,Tuesday,Inconvient,Less than 10 minutes,4-6 times,No,7,2,7,6,10,Just right,Neither agree nor disagree,0,9,No,No,NA,NA,NA,5,No,No,NA,NA
Coburg Drive-In,No,Wednesday,Very Inconvenient,More than 1 hour,Once,NA,7,10,0,10,1,Way too hot,Disagree,1,9,No,Yes,3,8,0,6,Yes,Yes,Riley Hughes,Riley.Hughes@bigpond.com
Eastlands,Yes,Friday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,6,6,0,9,0,Way too cold,Strongly disagree,9,8,No,Yes,8,6,5,4,Yes,No,NA,NA
Airport West,Yes,Friday,Convenient,More than 1 hour,More than 6 times,NA,1,10,2,7,9,Just right,Strongly disagree,3,8,No,No,NA,NA,NA,3,No,Yes,Dylan Barnes,Dylan.Barnes@msn.com
Werribee,Yes,Saturday,Convenient,Less than 10 minutes,Once,No,2,10,1,2,10,Way too cold,Neither agree nor disagree,9,2,No,Yes,6,8,10,2,No,No,NA,NA
Warnambool,Yes,Monday,Indifferent,More than 1 hour,More than 6 times,NA,4,5,3,0,0,A little warm,Disagree,8,5,No,Yes,3,2,0,2,Yes,Yes,Arianna Young,Arianna.Young@bigpond.net.au
Southland,Yes,Saturday,Inconvient,More than 1 hour,4-6 times,Yes,8,10,8,4,2,Just right,Strongly agree,0,1,No,Yes,9,5,6,2,Yes,No,NA,NA
Bendigo,No,Friday,Indifferent,Less than 10 minutes,2-3 times,Yes,1,5,8,7,3,Way too cold,Strongly agree,0,1,No,Yes,5,7,6,0,No,No,NA,NA
Geelong,Yes,Wednesday,Indifferent,Less than 30 minutes,Once,Yes,3,0,9,6,3,A little warm,Strongly disagree,0,3,Yes,No,NA,NA,NA,9,No,Yes,Victoria Sanchez,Victoria.Sanchez@optusnet.com.au
Bendigo,Yes,Tuesday,Very Convenient,Less than 10 minutes,Once,Yes,7,8,2,2,4,A little cool,Neither agree nor disagree,2,3,Yes,No,NA,NA,NA,2,No,Yes,Lucas Perry,Lucas.Perry@yahoo.com.au
Southland,No,Friday,Very Inconvenient,More than 1 hour,Once,Yes,8,8,4,4,0,Way too cold,Strongly disagree,9,9,No,No,NA,NA,NA,10,No,No,NA,NA
Warragul,No,Wednesday,Very Convenient,Less than 1 hour,More than 6 times,NA,2,8,5,5,5,Way too hot,Strongly disagree,6,0,Yes,Yes,2,3,5,7,No,No,NA,NA
Fountain Gate,No,Wednesday,Inconvient,Less than 1 hour,4-6 times,No,3,8,7,4,5,A little cool,Strongly agree,5,6,Yes,Yes,9,4,7,5,Yes,No,NA,NA
Werribee,No,Saturday,Inconvient,Less than 10 minutes,4-6 times,No,8,10,7,0,4,Just right,Disagree,3,4,No,Yes,7,4,4,9,Yes,No,NA,NA
Karingal,Yes,Wednesday,Indifferent,Less than 30 minutes,Once,Yes,10,4,4,7,0,Way too hot,Agree,8,0,Yes,Yes,2,8,2,0,Yes,Yes,Zoe Scott,Zoe.Scott@live.com.au
Geelong,No,Monday,Very Convenient,Less than 10 minutes,Once,No,3,3,5,10,3,Way too hot,Strongly agree,2,8,No,Yes,5,9,5,3,Yes,Yes,Dylan Bennett,Dylan.Bennett@yahoo.com.au
Werribee,Yes,Tuesday,Very Convenient,Less than 1 hour,2-3 times,Yes,5,6,9,4,10,Way too cold,Strongly disagree,4,3,No,No,NA,NA,NA,10,No,Yes,Emily Wilson,Emily.Wilson@bigpond.com
Coburg Drive-In,Yes,Thursday,Convenient,More than 1 hour,Once,NA,6,4,5,7,7,Way too hot,Agree,4,5,No,Yes,3,0,6,5,Yes,No,NA,NA
Jam Factory,Yes,Friday,Convenient,Less than 1 hour,Once,No,5,1,5,3,7,A little warm,Strongly agree,0,10,Yes,Yes,1,10,9,5,No,Yes,Maya Flores,Maya.Flores@bigpond.net.au
Werribee,No,Thursday,Very Convenient,Less than 30 minutes,Once,Yes,10,0,2,1,9,Way too hot,Neither agree nor disagree,1,6,No,No,NA,NA,NA,2,Yes,Yes,Emily Nelson,Emily.Nelson@outlook.com
Sunshine,No,Sunday,Very Inconvenient,Less than 30 minutes,More than 6 times,No,0,3,6,4,0,Just right,Neither agree nor disagree,10,5,Yes,Yes,10,0,4,6,Yes,Yes,Hannah Cox,Hannah.Cox@bigpond.com
Glenorchy,No,Sunday,Inconvient,Less than 10 minutes,More than 6 times,NA,3,10,4,4,2,A little cool,Neither agree nor disagree,7,0,Yes,No,NA,NA,NA,1,No,No,NA,NA
Doncaster,No,Monday,Very Convenient,Less than 1 hour,Once,Yes,5,5,6,1,6,Just right,Strongly agree,5,9,Yes,No,NA,NA,NA,9,No,No,NA,NA
Glenorchy,Yes,Monday,Convenient,Less than 10 minutes,4-6 times,NA,5,5,10,5,7,A little cool,Agree,6,5,Yes,Yes,5,5,6,0,No,Yes,Kaylee Smith,Kaylee.Smith@outlook.com
Morwell,No,Friday,Very Convenient,Less than 1 hour,Once,NA,2,1,9,6,9,Just right,Strongly agree,2,4,No,Yes,4,1,1,4,No,Yes,Jayce Sullivan,Jayce.Sullivan@msn.com
Sorrento,Yes,Saturday,Very Convenient,Less than 1 hour,Once,NA,6,5,2,8,7,Way too cold,Strongly disagree,10,4,Yes,No,NA,NA,NA,5,Yes,No,NA,NA
Southland,No,Saturday,Inconvient,Less than 10 minutes,More than 6 times,Yes,0,4,6,10,8,Way too cold,Strongly agree,10,5,Yes,Yes,7,10,6,0,No,Yes,Julian Kumar,Julian.Kumar@yahoo.com.au
Warnambool,Yes,Tuesday,Inconvient,Less than 1 hour,More than 6 times,NA,1,8,0,2,10,Way too hot,Strongly disagree,2,4,No,No,NA,NA,NA,3,No,Yes,Lincoln Baker,Lincoln.Baker@optusnet.com.au
Shepparton,Yes,Wednesday,Convenient,Less than 1 hour,More than 6 times,NA,7,7,6,3,6,Just right,Strongly disagree,0,3,No,Yes,1,0,1,9,Yes,Yes,Maya Sanchez,Maya.Sanchez@msn.com
Glenorchy,Yes,Thursday,Very Convenient,Less than 10 minutes,2-3 times,NA,7,5,0,7,9,A little cool,Disagree,7,9,No,Yes,5,2,5,9,Yes,No,NA,NA
Eastlands,Yes,Thursday,Very Convenient,Less than 10 minutes,Once,NA,9,5,2,3,6,A little warm,Strongly agree,4,1,Yes,Yes,7,9,1,8,No,No,NA,NA
Plenty Valley,Yes,Monday,Very Convenient,Less than 10 minutes,2-3 times,Yes,2,8,5,0,0,Way too cold,Agree,4,0,Yes,No,NA,NA,NA,8,No,No,NA,NA
Sunshine,Yes,Thursday,Very Inconvenient,Less than 30 minutes,More than 6 times,Yes,3,9,10,10,4,A little cool,Strongly disagree,8,3,Yes,No,NA,NA,NA,2,Yes,Yes,Riley Wang,Riley.Wang@outlook.com
Sunshine,Yes,Monday,Very Convenient,More than 1 hour,More than 6 times,Yes,4,7,1,0,5,A little warm,Strongly disagree,1,3,Yes,No,NA,NA,NA,9,Yes,Yes,Liam Hill,Liam.Hill@mailinator.com
Fountain Gate,Yes,Sunday,Convenient,Less than 30 minutes,4-6 times,No,7,3,2,7,0,Way too hot,Agree,6,2,Yes,Yes,2,0,4,10,No,No,NA,NA
Glenorchy,No,Tuesday,Very Inconvenient,Less than 10 minutes,4-6 times,NA,2,10,0,3,6,A little cool,Neither agree nor disagree,1,0,No,Yes,4,0,2,2,Yes,No,NA,NA
Geelong,Yes,Saturday,Indifferent,Less than 30 minutes,Once,No,9,1,4,3,1,Way too cold,Strongly agree,7,9,Yes,No,NA,NA,NA,1,No,Yes,Cameron Green,Cameron.Green@msn.com
Werribee,Yes,Friday,Convenient,More than 1 hour,Once,Yes,7,6,7,2,4,Just right,Strongly agree,3,4,No,Yes,4,0,8,2,Yes,Yes,Grayson James,Grayson.James@yahoo.com.au
Sunshine,No,Monday,Inconvient,More than 1 hour,More than 6 times,Yes,6,5,8,10,4,Just right,Neither agree nor disagree,2,10,No,Yes,5,1,10,9,Yes,Yes,Abigail Rogers,Abigail.Rogers@optusnet.com.au
Morwell,No,Saturday,Indifferent,Less than 10 minutes,More than 6 times,NA,1,0,6,10,1,Just right,Disagree,2,0,No,No,NA,NA,NA,2,No,Yes,Oliver Clark,Oliver.Clark@yahoo.com.au
Shepparton,Yes,Sunday,Convenient,More than 1 hour,More than 6 times,NA,9,0,8,2,3,A little warm,Strongly agree,5,1,Yes,Yes,5,3,7,1,No,Yes,Maidson Lee,Maidson.Lee@live.com.au
